id,storyday,storyevent
ycw4trhxmd,09/063,No longer friends with
ycw4trhxmd,10/063,Friends with
ycw4trhxmd,21/063,Retired
ycw4trhxmd,07/064,Friends with
ycw4trhxmd,25/065,Dating
ycw4trhxmd,02/066,Engaged
ycw4trhxmd,12/066,No longer friends with
ycw4trhxmd,28/066,Married
ycw4trhxmd,28/066,Moved to Vardo 1 with
ycw4trhxmd,25/067,No longer friends with
ycw4trhxmd,16/068,Light smoker
ycw4trhxmd,23/069,Nonsmoker
ycw4trhxmd,15/070,Friends with
ycw4trhxmd,16/073,Light smoker
ycw4trhxmd,02/076,Nonsmoker
ycw4trhxmd,25/077,Friends with
ycw4trhxmd,15/078,Widowed
ycw4trhxmd,28/078,No longer friends with
ycw4trhxmd,23/079,Friends with
ycw4trhxmd,25/082,Light smoker
ycw4trhxmd,18/083,Nonsmoker
ycw4trhxmd,08/085,No longer friends with
ycw4trhxmd,12/085,Friends with
ycw4trhxmd,09/086,No longer friends with
ycw4trhxmd,25/086,Friends with
ycw4trhxmd,19/096,Light smoker
ycw4trhxmd,22/099,Nonsmoker
ycw4trhxmd,17/107,Light smoker
ycw4trhxmd,20/115,Moderate smoker
ycw4trhxmd,20/116,Heavy smoker
ycw4trhxmd,06/118,Moderate smoker
ycw4trhxmd,05/122,Light smoker
ycw4trhxmd,17/123,Died from stroke
6abgw8wbdp,05/004,Born in Hofn 32
6abgw8wbdp,08/008,Friends with
6abgw8wbdp,05/009,Caught V2
6abgw8wbdp,15/009,Hofn Elementary School
6abgw8wbdp,15/010,Friends with
6abgw8wbdp,24/010,Friends with
6abgw8wbdp,16/012,Friends with
6abgw8wbdp,06/016,Friends with
6abgw8wbdp,08/016,Graduated from Hofn Elementary School
6abgw8wbdp,08/016,Friends with
6abgw8wbdp,15/016,Hofn High School
6abgw8wbdp,13/019,Dating
6abgw8wbdp,15/019,Single
6abgw8wbdp,17/019,Dating
6abgw8wbdp,05/020,Florist
6abgw8wbdp,23/020,No longer friends with
6abgw8wbdp,06/021,Friends with
6abgw8wbdp,27/021,Friends with
6abgw8wbdp,03/022,Engaged
6abgw8wbdp,08/022,Graduated from Hofn High School
6abgw8wbdp,09/022,No longer friends with
6abgw8wbdp,16/022,Friends with
6abgw8wbdp,27/022,Moved to Hofn 10 with
6abgw8wbdp,08/023,Married
6abgw8wbdp,17/023,Moved to Vardo 4 with
6abgw8wbdp,17/023,Fisherman
6abgw8wbdp,18/024,Pregnant
6abgw8wbdp,12/025,born
6abgw8wbdp,12/026,Pregnant
6abgw8wbdp,05/027,born
6abgw8wbdp,26/027,Pregnant
6abgw8wbdp,19/028,born
6abgw8wbdp,02/029,No longer friends with
6abgw8wbdp,01/030,Pregnant
6abgw8wbdp,05/030,Miscarriage
6abgw8wbdp,07/030,Pregnant
6abgw8wbdp,17/030,Friends with
6abgw8wbdp,27/030,born
6abgw8wbdp,09/031,Pregnant
6abgw8wbdp,03/032,born
6abgw8wbdp,25/033,Pregnant
6abgw8wbdp,18/034,born
6abgw8wbdp,15/035,Moved to Hofn 5
6abgw8wbdp,15/035,University of Hofn
6abgw8wbdp,15/035,High School Teacher
6abgw8wbdp,08/039,Graduated from Hofn University
6abgw8wbdp,08/039,Moved to Vardo 4
6abgw8wbdp,08/039,Elementary School Teacher
6abgw8wbdp,09/046,No longer friends with
6abgw8wbdp,24/046,Friends with
6abgw8wbdp,08/048,Unemployed
6abgw8wbdp,13/049,No longer friends with
6abgw8wbdp,15/049,Carpenter
6abgw8wbdp,05/050,Friends with
6abgw8wbdp,22/058,No longer friends with
6abgw8wbdp,05/059,Friends with
6abgw8wbdp,10/059,Friends with
6abgw8wbdp,27/063,Retired
6abgw8wbdp,26/066,No longer friends with
6abgw8wbdp,16/067,No longer friends with
6abgw8wbdp,08/068,No longer friends with
6abgw8wbdp,16/068,Friends with
6abgw8wbdp,28/069,Friends with
6abgw8wbdp,02/071,Cervical cancer
6abgw8wbdp,08/071,Died from cervical cancer
um3862gage,06/004,Born in Hofn 30
um3862gage,28/007,Friends with
um3862gage,02/008,No longer friends with
um3862gage,08/008,Friends with
um3862gage,09/008,Friends with
um3862gage,24/008,Mother died
um3862gage,26/008,Friends with
um3862gage,02/009,Caught V2
um3862gage,15/009,Hofn Elementary School
um3862gage,18/009,Friends with
um3862gage,19/009,Friends with
um3862gage,19/010,Friends with
um3862gage,10/011,Friends with
um3862gage,15/011,Friends with
um3862gage,15/013,Father died
um3862gage,15/013,Adopted by
um3862gage,15/013,Moved to Hofn 21
um3862gage,08/016,Graduated from Hofn Elementary School
um3862gage,15/016,Hofn High School
um3862gage,19/017,No longer friends with
um3862gage,23/017,Friends with
um3862gage,01/018,Dating
um3862gage,07/018,Single
um3862gage,07/018,No longer friends with
um3862gage,08/018,Dating
um3862gage,05/019,Friends with
um3862gage,14/019,No longer friends with
um3862gage,12/020,Friends with
um3862gage,18/020,Friends with
um3862gage,08/022,Graduated from Hofn High School
um3862gage,08/022,Diary Farmer
um3862gage,13/022,Friends with
um3862gage,16/022,Engaged
um3862gage,18/022,Pregnant
um3862gage,03/023,Miscarriage
um3862gage,03/023,Pregnant
um3862gage,09/023,Married
um3862gage,10/023,Left home
um3862gage,10/023,Moved to Vardo 3
um3862gage,10/023,Miller
um3862gage,24/023,born
um3862gage,18/024,Pregnant
um3862gage,23/024,No longer friends with
um3862gage,12/025,born
um3862gage,21/026,No longer friends with
um3862gage,26/026,Friends with
um3862gage,02/029,No longer friends with
um3862gage,17/030,Friends with
um3862gage,25/031,No longer friends with
um3862gage,15/033,Moved to Hofn 16 with
um3862gage,08/035,Wheat Farmer
um3862gage,19/035,Friends with
um3862gage,28/035,Friends with
um3862gage,08/037,Moved to Vardo 1 with
um3862gage,08/037,Baker
um3862gage,09/046,No longer friends with
um3862gage,13/049,No longer friends with
um3862gage,05/050,Friends with
um3862gage,07/051,Adopted
um3862gage,07/051,Adopted
um3862gage,22/058,No longer friends with
um3862gage,02/061,No longer friends with
um3862gage,23/063,Retired
um3862gage,16/064,No longer friends with
um3862gage,02/065,Pancreatic cancer
um3862gage,03/065,Died from pancreatic cancer
ptx3swqrz9,07/004,Born in Hofn 6
ptx3swqrz9,02/008,Friends with
ptx3swqrz9,06/009,Caught V2
ptx3swqrz9,15/009,Hofn Elementary School
ptx3swqrz9,18/009,Friends with
ptx3swqrz9,09/010,Friends with
ptx3swqrz9,23/010,Friends with
ptx3swqrz9,10/011,Friends with
ptx3swqrz9,05/013,No longer friends with
ptx3swqrz9,03/014,Friends with
ptx3swqrz9,08/016,Graduated from Hofn Elementary School
ptx3swqrz9,15/016,Hofn High School
ptx3swqrz9,11/017,Friends with
ptx3swqrz9,11/020,Hairdresser
ptx3swqrz9,08/022,Graduated from Hofn High School
ptx3swqrz9,07/024,Friends with
ptx3swqrz9,08/024,Left home
ptx3swqrz9,08/024,Moved to Vardo 6
ptx3swqrz9,09/024,Moving to find work
ptx3swqrz9,09/024,Moved to Bjurholm 1
ptx3swqrz9,09/024,Baker
ptx3swqrz9,11/027,Friends with
ptx3swqrz9,15/028,Moved to Hofn 7
ptx3swqrz9,15/028,University of Hofn
ptx3swqrz9,24/031,No longer friends with
ptx3swqrz9,04/032,Friends with
ptx3swqrz9,08/032,Graduated from Hofn University
ptx3swqrz9,08/032,Moved to Bjurholm 7
ptx3swqrz9,15/032,Wheat Farmer
ptx3swqrz9,21/035,Light smoker
ptx3swqrz9,10/041,Nonsmoker
ptx3swqrz9,15/056,Unemployed
ptx3swqrz9,15/056,Mayor of Bjurholm
ptx3swqrz9,19/056,Friends with
ptx3swqrz9,03/058,Light smoker
ptx3swqrz9,09/062,Friends with
ptx3swqrz9,02/064,Retired
ptx3swqrz9,18/065,Nonsmoker
ptx3swqrz9,18/072,Pancreatic cancer
ptx3swqrz9,23/072,Died from pancreatic cancer
qw8bhaemaf,18/004,Born in Hofn 4
qw8bhaemaf,28/004,Moved to Hofn 24 with family
qw8bhaemaf,06/008,Friends with
qw8bhaemaf,09/008,Friends with
qw8bhaemaf,16/008,Friends with
qw8bhaemaf,28/008,Caught V2
qw8bhaemaf,03/009,No longer friends with
qw8bhaemaf,09/009,Friends with
qw8bhaemaf,12/009,Friends with
qw8bhaemaf,05/010,No longer friends with
qw8bhaemaf,15/010,Hofn Elementary School
qw8bhaemaf,23/010,Friends with
qw8bhaemaf,11/012,Moved to Hofn 29 with family
qw8bhaemaf,06/013,Friends with
qw8bhaemaf,06/016,Friends with
qw8bhaemaf,08/017,Graduated from Hofn Elementary School
qw8bhaemaf,15/017,Hofn High School
qw8bhaemaf,20/017,Friends with
qw8bhaemaf,07/018,Dating
qw8bhaemaf,07/018,Single
qw8bhaemaf,21/018,Friends with
qw8bhaemaf,23/018,Dating
qw8bhaemaf,24/018,Single
qw8bhaemaf,24/018,No longer friends with
qw8bhaemaf,25/018,Friends with
qw8bhaemaf,14/019,No longer friends with
qw8bhaemaf,24/021,Friends with
qw8bhaemaf,01/022,Dating
qw8bhaemaf,12/022,No longer friends with
qw8bhaemaf,25/022,Single
qw8bhaemaf,04/023,Friends with
qw8bhaemaf,08/023,Graduated from Hofn High School
qw8bhaemaf,10/023,Diary Farmer
qw8bhaemaf,14/023,No longer friends with
qw8bhaemaf,20/023,Left home
qw8bhaemaf,20/023,Moved to Vardo 5
qw8bhaemaf,26/023,Friends with
qw8bhaemaf,05/024,Dating
qw8bhaemaf,15/024,Engaged
qw8bhaemaf,09/025,Married
qw8bhaemaf,09/025,Moved to Hofn 11 with
qw8bhaemaf,21/025,No longer friends with
qw8bhaemaf,06/026,Pregnant
qw8bhaemaf,10/026,Miscarriage
qw8bhaemaf,15/026,Pregnant
qw8bhaemaf,18/026,Barista
qw8bhaemaf,09/027,born
qw8bhaemaf,18/028,Pregnant
qw8bhaemaf,11/029,born
qw8bhaemaf,28/029,Friends with
qw8bhaemaf,02/030,Pregnant
qw8bhaemaf,24/030,born
qw8bhaemaf,19/031,Pregnant
qw8bhaemaf,12/032,born
qw8bhaemaf,08/033,Pregnant
qw8bhaemaf,01/034,born
qw8bhaemaf,13/051,Friends with
qw8bhaemaf,08/054,Unemployed
qw8bhaemaf,08/054,Elementary School Principal
qw8bhaemaf,22/054,No longer friends with
qw8bhaemaf,26/054,Friends with
qw8bhaemaf,04/055,Friends with
qw8bhaemaf,08/055,Unemployed
qw8bhaemaf,04/056,Tailor
qw8bhaemaf,15/061,University of Hofn
qw8bhaemaf,15/061,Tailor
qw8bhaemaf,16/064,Retired
qw8bhaemaf,05/065,No longer friends with
qw8bhaemaf,08/065,Graduated from Hofn University
qw8bhaemaf,03/066,Friends with
qw8bhaemaf,20/067,Friends with
qw8bhaemaf,25/067,No longer friends with
qw8bhaemaf,19/071,No longer friends with
qw8bhaemaf,26/073,No longer friends with
qw8bhaemaf,01/075,No longer friends with
qw8bhaemaf,05/075,Friends with
qw8bhaemaf,19/075,Friends with
qw8bhaemaf,16/078,Light smoker
qw8bhaemaf,04/079,Friends with
qw8bhaemaf,20/081,Nonsmoker
qw8bhaemaf,05/082,No longer friends with
qw8bhaemaf,07/082,Friends with
qw8bhaemaf,04/084,Pancreatic cancer
qw8bhaemaf,12/084,No longer friends with
qw8bhaemaf,15/084,Died from pancreatic cancer
k45757p4ua,18/004,Born in Hofn 8
k45757p4ua,20/004,Moved to Hofn 27 with family
k45757p4ua,28/007,Friends with
k45757p4ua,02/008,Friends with
k45757p4ua,02/008,No longer friends with
k45757p4ua,03/008,Mother died
k45757p4ua,06/008,Father died
k45757p4ua,06/008,Adopted by
k45757p4ua,06/008,Moved to Hofn 6
k45757p4ua,26/008,Friends with
k45757p4ua,06/009,Caught V2
k45757p4ua,15/010,Hofn Elementary School
k45757p4ua,24/010,Friends with
k45757p4ua,24/013,No longer friends with
k45757p4ua,27/013,Friends with
k45757p4ua,10/015,Friends with
k45757p4ua,03/017,Friends with
k45757p4ua,08/017,Graduated from Hofn Elementary School
k45757p4ua,15/017,Hofn High School
k45757p4ua,19/017,No longer friends with
k45757p4ua,20/017,Friends with
k45757p4ua,19/018,No longer friends with
k45757p4ua,04/021,Friends with
k45757p4ua,20/021,No longer friends with
k45757p4ua,13/022,Pregnant
k45757p4ua,27/022,Friends with
k45757p4ua,03/023,Left home
k45757p4ua,03/023,Moved to Hofn 4
k45757p4ua,06/023,born
k45757p4ua,08/023,Graduated from Hofn High School
